CustomerID,total_sales,orders,total_quantity,avg_order_value
12346,77183.6,1,74215,77183.6
12347,4310.0,7,2458,615.7142857142857
12348,1797.24,4,2341,449.31
12349,1757.55,1,631,1757.55
12350,334.4,1,197,334.4
12352,2506.04,8,536,313.255
12353,89.0,1,20,89.0
12354,1079.4,1,530,1079.4
12355,459.4,1,240,459.4
12356,2811.43,3,1591,937.1433333333333
12357,6207.67,1,2708,6207.67
12358,1168.06,2,248,584.03
12359,6372.58,4,1622,1593.145
12360,2662.06,3,1165,887.3533333333334
12361,189.9,1,91,189.9
12362,5226.23,10,2229,522.6229999999999
12363,552.0,2,408,276.0
12364,1313.1,4,1506,328.275
12365,641.38,2,174,320.69
12367,168.9,1,173,168.9
12370,3545.69,4,2353,886.4225
12371,1887.96,2,591,943.98
12372,1298.04,3,794,432.68
12373,364.6,1,197,364.6
12374,742.93,1,342,742.93
12375,457.5,2,178,228.75
12377,1628.12,2,944,814.06
12378,4008.62,1,2529,4008.62
12379,852.24,2,407,426.12
12380,2724.81,4,1127,681.2025
12381,1845.31,5,808,369.062
12383,1850.56,5,1532,370.11199999999997
12384,585.27,2,126,292.635
12386,401.9,2,354,200.95
12388,2780.66,6,1462,463.4433333333333
12390,549.84,1,353,549.84
12391,460.89,1,300,460.89
12393,1582.6,4,816,395.65
12394,1272.48,2,819,636.24
12395,3018.63,12,2118,251.5525
12397,2409.9,2,1263,1204.95
12398,1635.6599999999999,1,1394,1635.6599999999999
12399,1108.65,4,1178,277.1625
12401,84.3,1,11,84.3
12402,225.6,1,94,225.6
12403,427.7,1,96,427.7
12405,1710.3899999999999,1,857,1710.3899999999999
12406,3415.2999999999997,2,1818,1707.6499999999999
12407,1708.12,5,1416,341.62399999999997
12408,2888.55,5,1409,577.71
12409,11072.67,3,5551,3690.89
12410,693.33,2,211,346.665
12412,1226.8799999999999,3,829,408.96
12413,758.1,3,286,252.70000000000002
12414,562.41,3,300,187.47
12415,126014.1629746,21,77670,6000.674427361904
12417,3649.1,9,1552,405.4555555555555
12418,668.58,1,407,668.58
12420,600.39,1,345,600.39
12421,807.04,4,484,201.76
12422,803.56,3,370,267.8533333333333
