Description,delivered_sales,delivered_quantity
"PAPER CRAFT , LITTLE BIRDIE",168469.6,80995
REGENCY CAKESTAND 3 TIER,142731.0783439,12412
WHITE HANGING HEART T-LIGHT HOLDER,100448.15,36725
JUMBO BAG RED RETROSPOT,85220.78,46181
MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,77916
POSTAGE,77803.96,3120
PARTY BUNTING,68867.74740472,15295
ASSORTED COLOUR BIRD ORNAMENT,56580.34,35362
Manual,56053.2617314,7179
RABBIT NIGHT LIGHT,51346.2,27202
CHILLI LIGHTS,46286.51,9650
PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,15617
PICNIC BASKET WICKER 60 PIECES,39619.5,61
BLACK RECORD COVER FRAME,39064.55,11406
JUMBO BAG PINK POLKADOT,37289.590000000004,20165
DOORMAT KEEP CALM AND COME IN,35913.85,5342
SPOTTY BUNTING,35539.25,7639
WOOD BLACK BOARD ANT WHITE FINISH,34478.01,5921
SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,7020
JAM MAKING SET WITH JARS,32718.0845684,8162
JUMBO BAG STRAWBERRY,30644.2,16807
VICTORIAN GLASS HANGING T-LIGHT,28776.51,22433
HEART OF WICKER LARGE,28520.95,9591
HEART OF WICKER SMALL,28228.64,16775
LUNCH BAG RED RETROSPOT,28048.45,17697
SET OF 3 REGENCY CAKE TINS,26625.68,5856
JUMBO BAG APPLES,26451.260000000002,13887
ALARM CLOCK BAKELIKE RED ,25925.2,7221
PAPER CHAIN KIT VINTAGE CHRISTMAS,25669.27,9433
DOORMAT RED RETROSPOT,25397.85,3901
GIN + TONIC DIET METAL SIGN,24988.98,11519
ROSES REGENCY TEACUP AND SAUCER ,24865.6,9132
SPACEBOY LUNCH BOX ,24694.59,13919
HOT WATER BOTTLE KEEP CALM,24426.3,5338
NATURAL SLATE HEART CHALKBOARD ,24245.52,8480
JUMBO BAG ALPHABET,24175.0,12540
PLEASE ONE PERSON METAL SIGN,23930.92,11963
RED  HARMONICA IN BOX ,23793.93,20975
DOORMAT UNION FLAG,23697.99,3625
JUMBO  BAG BAROQUE BLACK WHITE,23675.04,12793
CHOCOLATE HOT WATER BOTTLE,23624.24,5160
POPCORN HOLDER,23427.71,30931
REGENCY TEAPOT ROSES ,23073.32,2666
BAKING SET 9 PIECE RETROSPOT ,23007.55,4797
DOORMAT NEW ENGLAND,22968.25,3721
CREAM HEART CARD HOLDER,22715.57,8195
VINTAGE UNION JACK MEMOBOARD,22709.13,3255
RED HANGING HEART T-LIGHT HOLDER,22624.69,7759
ROUND SNACK BOXES SET OF4 WOODLAND ,22175.52,8100
SET OF TEA COFFEE SUGAR TINS PANTRY,22133.83,4663
JUMBO STORAGE BAG SUKI,21790.95,11516
DOORMAT FAIRY CAKE,21187.69,3429
JAM MAKING SET PRINTED,21170.75,15055
JUMBO BAG VINTAGE LEAF,20963.93,10716
VINTAGE UNION JACK BUNTING,20962.16,2540
ALARM CLOCK BAKELIKE GREEN,20880.4,5641
RECIPE BOX PANTRY YELLOW DESIGN,20859.27,7373
EDWARDIAN PARASOL NATURAL,20696.71,3826
JUMBO BAG VINTAGE DOILY ,20674.68,10636
CREAM SWEETHEART MINI CHEST,20562.92,1705
SET OF 6 SPICE TINS PANTRY DESIGN,20530.0,5372
RETROSPOT TEA SET CERAMIC 11 PC ,20470.78,4248
COOK WITH WINE METAL SIGN ,20315.329999999998,10209
JUMBO SHOPPER VINTAGE RED PAISLEY,20174.23,10518
DOLLY GIRL LUNCH BOX,20129.44,11336
SCOTTIE DOG HOT WATER BOTTLE,20104.35,4259
WOODEN PICTURE FRAME WHITE FINISH,20001.65,8276
DOORMAT HEARTS,19948.81,3271
RED TOADSTOOL LED NIGHT LIGHT,19844.91,12871
LUNCH BOX I LOVE LONDON,19353.22,11094
DOORMAT FANCY FONT HOME SWEET HOME,19157.02,3088
JUMBO BAG OWLS,19076.92,10466
PAPER BUNTING RETROSPOT,18882.37236746,6903
ALARM CLOCK BAKELIKE PINK,18569.09,5074
JUMBO BAG PINK VINTAGE PAISLEY,18429.98,9889
LUNCH BAG APPLE DESIGN,18278.25,11565
LUNCH BAG  BLACK SKULL.,18024.55,11291
RED RETROSPOT CAKE STAND,17929.75,1809
GREEN REGENCY TEACUP AND SAUCER,17806.34,6430
JUMBO BAG 50'S CHRISTMAS ,17679.72,8954
WOODEN FRAME ANTIQUE WHITE ,17625.07,6282
ROUND SNACK BOXES SET OF 4 FRUITS ,17604.99,6481
ROTATING SILVER ANGELS T-LIGHT HLDR,17592.52,7907
GUMBALL COAT RACK,17580.35,7688
HOMEMADE JAM SCENTED CANDLES,17521.6,12092
FAIRY CAKE FLANNEL ASSORTED COLOUR,17304.57,10082
LUNCH BAG CARS BLUE,17265.68,10820
GROW A FLYTRAP OR SUNFLOWER IN TIN,17226.2,15940
JUMBO BAG DOILEY PATTERNS,16741.26,8737
COLOUR GLASS. STAR T-LIGHT HOLDER,16570.29,5655
SET/5 RED RETROSPOT LID GLASS BOWLS,16569.579999999998,5882
PACK OF 72 RETROSPOT CAKE CASES,16394.53,33693
LUNCH BAG PINK POLKADOT,16349.5,10254
HAND WARMER OWL DESIGN,16237.63,8115
ASSORTED COLOURS SILK FAN,16044.44,21876
MINI PAINT SET VINTAGE ,16039.24,26076
LUNCH BAG SPACEBOY DESIGN ,15881.2,9912
RETROSPOT HEART HOT WATER BOTTLE,15871.73,3335
HOME BUILDING BLOCK WORD,15630.960000000001,2654
HAND OVER THE CHOCOLATE   SIGN ,15539.11,8164
JUMBO BAG WOODLAND ANIMALS,15511.6,8187
HOT WATER BOTTLE TEA AND SYMPATHY,15415.22,3736
LUNCH BAG SUKI DESIGN ,15384.05,9601
JUMBO BAG SPACEBOY DESIGN,15362.79428572,8248
EDWARDIAN PARASOL BLACK,15218.67,2779
ANTIQUE SILVER T-LIGHT GLASS,15206.42,12973
6 RIBBONS RUSTIC CHARM,14988.59,8605
IVORY KITCHEN SCALES,14788.33,1783
PINK REGENCY TEACUP AND SAUCER,14769.49,5343
WOOD 2 DRAWER CABINET WHITE FINISH,14689.87,2341
JUMBO BAG SCANDINAVIAN BLUE PAISLEY,14632.97,7757
LUNCH BAG WOODLAND,14537.11,9115
SET OF 4 PANTRY JELLY MOULDS,14180.17,11792
HOT WATER BOTTLE I AM SO POORLY,13847.28,2972
SMALL POPCORN HOLDER,13798.72,18252
CHILDRENS CUTLERY POLKADOT PINK,13796.6,3530
WORLD WAR 2 GLIDERS ASSTD DESIGNS,13586.25,54415
DOORMAT ENGLISH ROSE ,13470.95,1975
PAPER CHAIN KIT EMPIRE,13435.15,4893
RED WOOLLY HOTTIE WHITE HEART.,13430.51,3707
BREAD BIN DINER STYLE IVORY,13131.89,847
LOVE HOT WATER BOTTLE,13115.4,2352
JUMBO BAG PEARS,13043.24,6733
BOX OF VINTAGE ALPHABET BLOCKS,13035.66,1295
SET/4 WHITE RETRO STORAGE CUBES ,13007.15,357
VINTAGE CHRISTMAS BUNTING,12994.77,2755
SET OF 10 LED DOLLY LIGHTS,12985.23,2194
HOT BATHS METAL SIGN,12832.14,6415
HANGING HEART JAR T-LIGHT HOLDER,12674.72,10980
SET 7 BABUSHKA NESTING BOXES,12665.289999999999,1654
CLOTHES PEGS RETROSPOT PACK 24 ,12545.38,8418
GARDENERS KNEELING PAD KEEP CALM ,12493.48,7740
MEMO BOARD RETROSPOT  DESIGN,12411.02,2786
3 HOOK PHOTO SHELF ANTIQUE WHITE,12294.38,1723
BLACK HEART CARD HOLDER,12261.9,4844
HAND WARMER SCOTTY DOG DESIGN,12248.76,6118
RED RETROSPOT MINI CASES,12216.800000000001,1712
GREY HEART HOT WATER BOTTLE,12191.15,3156
PLASTERS IN TIN SPACEBOY,12151.8,7664
CHRISTMAS LIGHTS 10 REINDEER,12150.0,1572
ASSORTED COLOUR MINI CASES,12123.41,1719
DOORMAT SPOTTY HOME SWEET HOME,12095.67,1662
HAND WARMER BIRD DESIGN,12081.43,6001
PAPER CHAIN KIT RETROSPOT,12043.21,4307
LUNCH BAG ALPHABET DESIGN,12029.06,7554
RECYCLING BAG RETROSPOT ,11942.43,6088
RED KITCHEN SCALES,11915.18849387,1478
DOTCOM POSTAGE,11906.36,16
FELTCRAFT CUSHION OWL,11783.05,3284
FELTCRAFT DOLL MOLLY,11762.99,4469
PINK HAPPY BIRTHDAY BUNTING,11688.15,2287
DOUGHNUT LIP GLOSS ,11640.7,9662
PLASTERS IN TIN WOODLAND ANIMALS,11637.43,7307
PACK OF 60 PINK PAISLEY CAKE CASES,11629.699999999999,24264
PINK BLUE FELT CRAFT TRINKET BOX,11629.39,10225
WOODEN ROUNDERS GARDEN SET ,11601.14,1269
IVORY DINER WALL CLOCK,11587.199999999999,1426
REGENCY SUGAR BOWL GREEN,11575.54,2956
FELTCRAFT 6 FLOWER FRIENDS,11566.39,5890
DOORMAT WELCOME PUPPIES,11544.2,2028
LOVE BUILDING BLOCK WORD,11535.56,1946
ENAMEL FLOWER JUG CREAM,11444.93,1995
WOOD S/3 CABINET ANT WHITE FINISH,11394.9,1370
RED DINER WALL CLOCK,11074.39,1352
STRAWBERRY CERAMIC TRINKET BOX,10895.52,9328
JUMBO STORAGE BAG SKULLS,10890.79,5706
PICNIC BASKET WICKER LARGE,10818.9,1194
FELTCRAFT CUSHION RABBIT,10694.81,3018
METAL SIGN TAKE IT OR LEAVE IT ,10647.3,3690
VINTAGE SNAP CARDS,10447.42,13336
TEA TIME PARTY BUNTING,10445.25,2291
RED RETROSPOT PICNIC BAG,10371.66,3758
LUNCH BAG VINTAGE DOILY ,10370.76,6452
LUNCH BAG DOLLY GIRL DESIGN,10360.69,6545
LUNCH BAG DOILEY PATTERN ,10331.3,6482
ALARM CLOCK BAKELIKE IVORY,10285.61,2728
PAPER BUNTING WHITE LACE,10264.05,3779
RED RETROSPOT UMBRELLA,10247.47,1846
WHITE SKULL HOT WATER BOTTLE ,10227.72,2702
BAKING SET SPACEBOY DESIGN,10210.89,2153
REGENCY TEA PLATE ROSES ,10190.789999999999,6575
CLASSIC METAL BIRDCAGE PLANT HOLDER,10161.41,928
SOLDIERS EGG CUP ,10150.22,8821
RED RETROSPOT CHARLOTTE BAG,10125.85,12809
BLUE HAPPY BIRTHDAY BUNTING,10107.52,1950
TRADITIONAL WOODEN SKIPPING ROPE,10019.47,7919
LUNCH BAG VINTAGE LEAF DESIGN,10006.45,6225
GARDENERS KNEELING PAD CUP OF TEA ,9963.39,6303
WOODEN UNION JACK BUNTING,9928.83,1734
CHILDRENS CUTLERY POLKADOT BLUE,9831.4,2524
DOORMAT BLACK FLOCK ,9822.2,1787
JUMBO BAG VINTAGE CHRISTMAS ,9748.34,4908
ICE CREAM SUNDAE LIP GLOSS,9668.16,7920
LONDON BUS COFFEE MUG,9666.3,4246
SET/20 RED RETROSPOT PAPER NAPKINS ,9656.789999999999,12313
FELTCRAFT CUSHION BUTTERFLY,9655.48,2698
DOORMAT HOME SWEET HOME BLUE ,9635.89,1597
CHILDRENS CUTLERY RETROSPOT RED ,9603.68,2492
COLOUR GLASS T-LIGHT HOLDER HANGING,9597.710000000001,15611
BREAD BIN DINER STYLE RED ,9597.31,626
PLASTERS IN TIN CIRCUS PARADE ,9596.96,5952
NO SINGING METAL SIGN,9573.6,4636
WOODEN CROQUET GARDEN SET,9555.98,709
HAND WARMER UNION JACK,9550.56,4746
DOORMAT WELCOME TO OUR HOME,9468.08,1378
PLASTERS IN TIN STRONGMAN,9462.29,5885
SET/3 RED GINGHAM ROSE STORAGE BOX,9424.32,2704
15CM CHRISTMAS GLASS BALL 20 LIGHTS,9374.7,1266
PHOTO FRAME CORNICE,9365.78,3206
ANTIQUE SILVER TEA GLASS ENGRAVED,9339.34,8273
KNITTED UNION FLAG HOT WATER BOTTLE,9329.17,2469
TRADITIONAL MODELLING CLAY,9311.47,8014
TRADITIONAL KNITTING NANCY,9297.87,5895
SET OF 4 KNICK KNACK TINS DOILY ,9270.5,2294
BLUE HARMONICA IN BOX ,9222.63,7434
FAWN BLUE HOT WATER BOTTLE,9218.55,2925
RED RETROSPOT ROUND CAKE TINS,9188.25,975
REGENCY TEA PLATE GREEN ,9184.9,5966
PANTRY ROLLING PIN,9184.28,2407
WOODEN SCHOOL COLOURING SET,9072.87,5695
EDWARDIAN PARASOL RED,9055.87,1630
REGENCY MILK JUG PINK ,9008.0,3066
SET OF 6 SOLDIER SKITTLES,8969.8192905,2377
REVOLVER WOODEN RULER ,8950.289999999999,4917
3 TIER CAKE TIN RED AND CREAM,8737.78,652
STRAWBERRY LUNCH BOX WITH CUTLERY,8734.64,3716
LADIES & GENTLEMEN METAL SIGN,8699.130000000001,3899
SET OF 20 KIDS COOKIE CUTTERS,8697.27,4149
PINK CREAM FELT CRAFT TRINKET BOX ,8648.49,7131
GINGERBREAD MAN COOKIE CUTTER,8625.13,7204
60 TEATIME FAIRY CAKE CASES,8618.369999999999,17689
AREA PATROLLED METAL SIGN,8552.22,4290
VINTAGE DOILY JUMBO BAG RED ,8535.26,4447
VINTAGE HEADS AND TAILS CARD GAME ,8531.41,7143
JUMBO BAG PAISLEY PARK,8529.24,4373
HAND WARMER RED RETROSPOT,8526.119999999999,4274
ENAMEL BREAD BIN CREAM,8519.0,713
"RECORD FRAME 7"" SINGLE SIZE ",8450.82,3812
FAMILY ALBUM WHITE PICTURE FRAME,8416.64,1075
T-LIGHT GLASS FLUTED ANTIQUE,8378.89,7336
SWEETHEART CAKESTAND 3 TIER,8376.6,892
POTTERING IN THE SHED METAL SIGN,8372.7,3926
"SET 3 RETROSPOT TEA,COFFEE,SUGAR",8354.87,1841
BOX OF 6 MINI VINTAGE CRACKERS,8350.41,3647
SET 2 PANTRY DESIGN TEA TOWELS,8323.17,2697
FELTCRAFT BUTTERFLY HEARTS,8314.55,6127
SET OF 3 NOTEBOOKS IN PARCEL,8283.75,5207
MULTI COLOUR SILVER T-LIGHT HOLDER,8269.45,10279
BOX OF 6 MINI 50'S CRACKERS,8216.789999999999,3539
LARGE WHITE HEART OF WICKER,8184.7,2908
HANGING JAM JAR T-LIGHT HOLDER,8164.12,10528
3 HEARTS HANGING DECORATION RUSTIC,8161.21,2895
SET 6 PAPER TABLE LANTERN HEARTS ,8129.429999999999,2265
VINTAGE RED KITCHEN CABINET,8125.0,60
ICE CREAM PEN LIP GLOSS ,8077.31,6607
FELTCRAFT PRINCESS CHARLOTTE DOLL,8071.51,2223
DOORMAT MULTICOLOUR STRIPE,8053.22,1419
SET OF 6 RIBBONS VINTAGE CHRISTMAS,8051.83,2843
ALARM CLOCK BAKELIKE ORANGE,7995.63,2182
CHILDRENS CUTLERY SPACEBOY ,7974.38,1982
RED METAL BOX TOP SECRET,7962.03,1003
RECIPE BOX RETROSPOT ,7952.900000000001,2870
SET OF 72 RETROSPOT PAPER  DOILIES,7947.37,5680
SET/10 RED POLKADOT PARTY CANDLES,7799.18,6502
TRAVEL SEWING KIT,7787.36,4864
GRAND CHOCOLATECANDLE,7785.05,5801
ASSTD DESIGN 3D PAPER STICKERS,7781.201615999999,13702
PICNIC BASKET WICKER SMALL,7746.7,1427
SET OF 3 HEART COOKIE CUTTERS,7741.84,6019
FELTCRAFT CHRISTMAS FAIRY,7722.68,1896
JUMBO BAG TOYS ,7689.28,4198
ZINC FOLKART SLEIGH BELLS,7665.110000000001,4647
HAND WARMER RED LOVE HEART,7660.2,3762
FAMILY PHOTO FRAME CORNICE,7646.84,837
BLUE DINER WALL CLOCK,7528.93,907
SET 6 SCHOOL MILK BOTTLES IN CRATE,7510.29,2067
PAINTED METAL PEARS ASSORTED,7491.4,4476
60 CAKE CASES VINTAGE CHRISTMAS,7417.849999999999,14735
SMALL GLASS HEART TRINKET POT,7412.56,3670
PLASTERS IN TIN VINTAGE PAISLEY ,7346.69,4573
OPEN CLOSED METAL SIGN,7311.36,1577
WOODLAND CHARLOTTE BAG,7277.24,9237
PACK OF 12 LONDON TISSUES ,7266.71,25345
WOODEN BOX OF DOMINOES,7215.95,5778
 SET 2 TEA TOWELS I LOVE LONDON ,7208.95,2627
CHOCOLATE THIS WAY METAL SIGN,7208.5199999999995,3635
SILVER HANGING T-LIGHT HOLDER,7193.25,4665
SET OF 4 KNICK KNACK TINS LONDON ,7170.599999999999,1788
FELTCRAFT PRINCESS LOLA DOLL,7166.94,1964
PACK OF 6 BIRDY GIFT TAGS,7149.7,6062
CHARLOTTE BAG SUKI DESIGN,7138.65,8975
SET OF 4 KNICK KNACK TINS DOILEY ,7136.849999999999,1803
CHRISTMAS CRAFT LITTLE FRIENDS,7128.1,3468
CREAM CUPID HEARTS COAT HANGER,7125.38,1918
ZINC METAL HEART DECORATION,7108.68,5757
SWEETHEART RECIPE BOOK STAND,7084.650000000001,1099
RED SPOTTY BISCUIT TIN,7071.2,2058
 SPACEBOY BABY GIFT SET,7065.5,450
FUNKY DIVA PEN,7010.94,8328
36 DOILIES VINTAGE CHRISTMAS,7006.25,5153
RAIN PONCHO RETROSPOT,6964.63,8755
JINGLE BELL HEART ANTIQUE SILVER,6962.04,3547
TRIPLE PHOTO FRAME CORNICE ,6932.83,761
GIANT 50'S CHRISTMAS CRACKER,6926.11,2635
CLEAR DRAWER KNOB ACRYLIC EDWARDIAN,6923.17,5753
SWEETHEART CERAMIC TRINKET BOX,6875.86,5757
PACK OF 72 SKULL CAKE CASES,6859.3099999999995,14309
NATURAL SLATE CHALKBOARD LARGE ,6833.2,1452
SMALL WHITE HEART OF WICKER,6832.83,4283
HANGING HEART ZINC T-LIGHT HOLDER,6830.59,8470
GIRAFFE WOODEN RULER,6820.74,3710
SET/2 RED RETROSPOT TEA TOWELS ,6820.01,2319
VINTAGE CREAM DOG FOOD CONTAINER,6779.35,826
WHITE WOOD GARDEN PLANT LADDER,6778.8099999999995,724
YOU'RE CONFUSING ME METAL SIGN ,6762.57,4281
RETROSPOT PARTY BAG + STICKER SET,6749.23,4391
VINTAGE DOILY TRAVEL SEWING KIT,6747.9,3522
SET 6 PAPER TABLE LANTERN STARS ,6739.63,1860
RED FLORAL FELTCRAFT SHOULDER BAG,6734.31,1876
SET OF 3 BUTTERFLY COOKIE CUTTERS,6718.9,5293
LUNCH BOX WITH CUTLERY RETROSPOT ,6717.79,2853
DOORMAT 3 SMILEY CATS,6715.25,1107
HOME SWEET HOME MUG,6708.11,5347
CARRIAGE,6686.0,134
CHILDS BREAKFAST SET SPACEBOY ,6681.849999999999,731
SET 40 HEART SHAPE PETIT FOUR CASES,6677.0,4260
HEART FILIGREE DOVE  SMALL,6671.07,5439
DOORMAT UNION JACK GUNS AND ROSES,6635.61,1159
ROUND CAKE TIN VINTAGE RED,6600.7300000000005,891
MINT KITCHEN SCALES,6599.79,792
CHILDRENS CUTLERY POLKADOT GREEN ,6599.06,1688
ROSE COTTAGE KEEPSAKE BOX ,6574.95,729
ALARM CLOCK BAKELIKE CHOCOLATE,6574.26,1776
CHILDRENS APRON SPACEBOY DESIGN,6572.49,3543
